Item,Covered California ID,Entity Name,County / Pediatric,Source,2015 to 2016 Inclusion,Address,City,State,ZIP,Rating Region,FIPS Code,Medicare Provider Number,340B ID,Entity Type Code,OSHPD ID,CA License,CA Facility ID,NPI,Billing Organization,Billing Address 1,Billing Address,Billing City,Billing State,Billing Zip,Primary Contact Name,Primary Contact Title,Primary Contact Telephone,Primary Contact Extension,Y,X,Tract,Block
1,01035H0001,BANNER LASSEN MEDICAL CENTER,,340B,Unchanged,1800 SPRING RIDGE DRIVE,SUSANVILLE,CA,96130,1,035,51320,CAH051320-00,Critical Access Hospital,106184008,230000020,230000008,1538197231,,,,,,,Alan Goldberg,Pharmacy Director,(530) 252-2160,,40.44052,-120.618299,40303,1043
2,01007H0002,Orchard Hospital,,340B & DHCS DSH,Unchanged,240 SPRUCE ST.,GRIDLEY,CA,95948,1,007,51311,CAH051311-00,Critical Access Hospital,106040802,230000007,230000001,1477522019,BIGGS GRIDLEY MEMORIAL HOSPITAL,PO BOX 97,,GRIDLEY,CA,95948,Matthew Washburn,340B Program Manager,(530) 846-5671,1274,39.36696065,-121.6910578,3502,4006
3,01011H0003,Colusa Regional Medical Center,,340B,Unchanged,199 E. Webster St.,COLUSA,CA,95932,1,011,50434,SCH050434-00,Sole Community Hospital,106060870,230000149,230000259,1144215427,,,,,,,Gary A Pea,CFO,(530) 458-5821,252,39.207372,-122.000261,200,5029
4,01063H0005,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,,DHCS DSH,Unchanged,500 1ST ave,PORTOLA,CA,96122,1,063,51300,,,106320859,230000014,230000004,,,,,,,,"Hayes, Thomas",Administrator,(530) 832-4277,,39.805192,-120.471462,,
6,01093H0009,Fairchild Medical Center,,340B,Unchanged,444 Bruce St,YREKA,CA,96097,1,093,51316,CAH051316-00,Critical Access Hospital,106474007,230000035,230000019,1093892275,,,,,,,Kelly Martin,CFO,(530) 841-6235,,41.7185962,-122.6463184,702,1038
7,01007H0010,FEATHER RIVER HOSPITAL,,340B & DHCS DSH,Unchanged,5974 PENTZ ROAD,PARADISE,CA,95969,1,007,50225,DSH050225,DSH,106040875,230000017,230000005,1548412570,Feather River Hospital,PO box 677000,,Paradise,CA,95967,Shirley Young,"Director, Patient Financial Services",(530) 876-7911,,39.75536642,-121.5723274,2000,1008
8,01045H0011,FRANK R HOWARD MEMORIAL HOSPITAL,,340B DSH,Unchanged,One Marcela Drive,WILLITS,CA,95490,1,045,51310,CAH051310-00,Critical Access Hospital,106230949,110000013,110000008,1356339543,,,,,,,Peter Forni,DIRECTOR OF PHARMACY,(707) 456-3147,,39.40089,-123.349777,10700,6023
9,01023H0015,JEROLD PHELPS COMMUNITY HOSPITAL,,DHCS DSH,Removed,733 CEDAR St,GARBERVILLE,CA,95542,1,023,,,,106121031,,110000057,,,,,,,,"Jasper, Harry S",Administrator,(707) 923-3921,,40.101503,-123.792764,,
10,01023H0016,MAD RIVER COMMUNITY HOSPITAL,,DHCS DSH,Unchanged,3800 JANES Rd,ARCATA,CA,95521,1,023,50028,,,106121002,110000031,110000021,,,,,,,,,,,,40.89627274,-124.0931962,,
11,01009H0017,Mark Twain Medical Center,,340B,Unchanged,768 Mountain Ranch Road,SAN ANDREAS,CA,95249,1,009,51332,CAH051332-00,Critical Access Hospital,106050932,030000058,030000120,1508968819,,,,,,,Jill Ortiz,Director of Pharmacy,(209) 754-2464,,38.18988582,-120.6715574,300,3009
